城市,污染指数,污染程度,PM10,SO2_x,NO2,aboveII,aboveII_prop,avgTemp,maxTemp,minTemp,avgHumidity,sunHour,avgPrecipitation,SO2_y,soot_x,dust_x,SO2_removed,soot_y,dust_y,gasTreatment,desulfurize,money_x,total_volume,qualified,Ammonia_Nitrogen,codInd,codHouse,treatment,money_y,2017年GDP,2016年GDP,2015年GDP,2014年GDP,2017年第一产业GDP增加值,2016年第一产业GDP增加值,2015年第一产业GDP增加值,2014年第一产业GDP增加值,2017年第二产业GDP增加值,2016年第二产业GDP增加值,2015年第二产业GDP增加值,2014年第二产业GDP增加值,2017年第三产业GDP增加值,2016年第三产业GDP增加值,2015年第三产业GDP增加值,2014年第三产业GDP增加值,2017年年末总人口(万人),2016年年末总人口(万人),2015年年末总人口(万人),2014年年末总人口(万人),amount,Hazardous,Utilized,Dischared,Ratio,污染类型,主要重金属,时间,污染来源,信息获取来源
太原,9.41,强,0.08900000000000001,0.068,0.02,304.0,83.3,11.3,39.4,-14.9,52.0,2413.4,376.6,94233.0,34814.0,27852.0,254968.0,3245803.0,897276.0,1116.0,431.0,88754.7,2557.0,2490.0,582.0,4722.0,22659.0,230.0,50670.8,3382.18,2955.6,2735.34,2531.09,40.82,38.77,37.4,38.86,1271.42,1067.49,1020.18,1012.31,2069.94,1849.34,1677.77,1479.92,369.17,370.25,367.39,369.74,2554.6,2.28,1335.3,78754,52.3,土壤重金属污染,铅/铜/锌,2005年,粉尘污染/交通排放,新闻报道
南京,8.62,强,0.114,0.036000000000000004,0.046,302.0,82.7,16.2,38.4,-5.5,71.0,1899.3,1298.4,115507.0,33788.0,37643.0,606632.0,3008848.0,870054.0,1184.0,164.0,160618.0,33784.0,32164.0,1233.0,26120.0,94803.0,708.0,97166.0,11715.1,10503.02,9720.77,8820.75,263.01,252.54,232.39,214.25,4454.87,4117.32,3916.77,3623.48,6997.22,6133.16,5571.61,4983.02,680.67,662.79,653.4,648.72,1656.5,22.53,1471.4, ,88.8,土壤重金属污染,铬/铅/铜,2012年,工业废物,新闻报道
杭州,6.42,强,0.098,0.034,0.055999999999999994,314.0,86.0,17.4,39.5,-3.6,72.0,1689.3,1728.1,88682.0,30860.0,13381.0,92156.0,1061174.0,926747.0,8917.0,436.0,91838.2,80468.0,77957.0,1559.0,87312.0,33900.0,1161.0,92510.4,12603.36,11313.72,10050.21,9206.16,311.08,304.21,287.95,274.35,4362.48,4120.93,3909.01,3845.58,7929.8,6888.59,5853.25,5086.24,753.88,736.0,723.55,715.76,707.2,8.21,665.7,1800,94.1,土壤重金属污染,汞/镉/砷/铜/锡,2010年,工业废物,新闻报道
长春,5.7,强,0.08900000000000001,0.03,0.044000000000000004,341.0,93.4,5.2,36.3,-29.7,66.0,2295.0,878.3,60528.0,94173.0,25323.0,35162.0,1577652.0,849045.0,676.0,61.0,14361.8,5815.0,5597.0,486.0,31815.0,32179.0,116.0,5809.1,6530.03,5917.94,5530.03,5342.43,315.07,323.53,343.24,332.03,3175.22,2915.66,2770.98,2813.62,3039.75,2678.74,2415.81,2196.78,748.92,753.43,753.83,754.55,474.2,1.26,472.1, ,99.6,土壤重金属污染,铅/镍,2005年,交通排放/工业废物,学术论文
沈阳,4.62,强,0.10099999999999999,0.057999999999999996,0.035,329.0,90.1,7.2,34.8,-29.5,71.0,2275.2,1036.6,77333.0,60364.0,4542.0,87775.0,2343065.0,6008.0,2150.0,489.0,32511.9,6141.0,5913.0,1043.0,10732.0,57868.0,341.0,18178.9,5864.97,5460.01,7272.31,7098.71,268.22,266.36,341.43,325.29,2261.37,2135.63,3474.18,3541.15,3335.37,3058.02,3456.69,3232.27,736.95,734.4,730.41,730.84,895.4,7.73,856.7,214,95.7,土壤重金属污染,镉,1989年,工业废物,学术论文
兰州,4.56,强,0.155,0.057,0.048,223.0,61.1,7.9,38.3,-23.0,56.0,2651.2,192.0,94557.0,9356.0,11913.0,86667.0,1079974.0,52001.0,534.0,18.0,35705.3,2529.0,2406.0,210.0,3203.0,43597.0,81.0,9462.7,2523.54,2264.23,2095.99,2000.94,61.47,60.36,56.22,52.44,881.74,790.1,782.65,824.88,1580.34,1413.78,1257.11,1123.61,325.55,324.23,321.9,374.67,507.3,13.99,413.2, ,78.9,土壤重金属污染,砷/铅/铜/锌,2011年,化肥农药,学术论文
重庆,2.8,中,0.102,0.048,0.039,311.0,85.2,18.6,40.6,0.8,78.0,910.6,1044.7,572747.0,102132.0,83601.0,962388.0,3773199.0,954137.0,3511.0,276.0,163084.5,45180.0,42798.0,5440.0,86549.0,147983.0,1498.0,56491.5,19424.73,17740.59,15717.27,14262.6,1276.09,1303.24,1150.15,1061.03,8584.61,7898.92,7069.37,6529.06,9564.03,8538.43,7497.75,6672.51,3389.82,3392.11,3371.84,3375.2,2837.4,36.42,2316.8,1336308,80.2,土壤重金属污染,镉/铅/锌/铜,2017年,工业废物,学术论文
乌鲁木齐,2.72,中,0.133,0.08900000000000001,0.067,266.0,72.9,7.4,37.4,-27.1,56.0,2815.7,282.4,94146.0,32993.0,8590.0,68796.0,966256.0,275147.0,554.0,84.0,36920.3,5174.0,4039.0,1204.0,7199.0,16215.0,82.0,10621.8,2743.82,2458.98,2631.64,2461.47,29.62,28.14,31.64,27.43,827.63,704.08,787.37,906.01,1886.56,1726.76,1812.62,1528.03,222.62,267.87,266.83,266.91,691.8,1.03,471.8,7712,68.2,土壤重金属污染,镉/锌,2012年,工业废物/化肥农药/交通排放,学术论文
北京,2.59,中,0.121,0.032,0.057,286.0,78.4,12.6,40.6,-16.7,51.0,2382.9,522.5,56844.0,21266.0,16550.0,129888.0,1907537.0,780542.0,2468.0,1018.0,90590.0,8198.0,8096.0,392.0,4882.0,87115.0,481.0,68058.5,28014.94,25669.13,23014.59,21330.83,120.42,129.79,140.21,158.99,5326.76,4944.44,4542.64,4544.8,22567.76,20594.9,18331.74,16627.04,1359.2,1362.86,1345.2,1333.4,1268.9,11.45,835.2,611,65.8,土壤重金属污染,镉/锌/铅,2017年,交通排放/生活垃圾,新闻报道
长沙,2.48,中,0.083,0.04,0.046,338.0,92.6,18.2,40.5,-1.7,74.0,1708.9,1626.4,54690.0,24746.0,105217.0,48333.0,103169.0,126159.0,342.0,52.0,6639.8,4343.0,3961.0,257.0,4904.0,42874.0,266.0,4411.0,10535.51,9455.36,8510.13,7824.81,379.45,370.95,341.78,311.9,4998.25,4521.02,4333.58,4241.25,5157.8,4563.4,3834.77,3271.66,708.79,696.0,680.36,671.41,149.0,0.15,148.6,1799,99.7,土壤重金属污染,镉/锌/铅,2008年,工业废物,学术论文
成都,2.43,中,0.10400000000000001,0.031,0.051,316.0,86.6,16.0,35.6,-2.7,79.0,789.0,936.8,61928.0,28901.0,5521.0,61402.0,727269.0,152959.0,1616.0,64.0,33820.4,12259.0,12234.0,9307.0,47468.0,70872.0,1203.0,85280.5,13889.39,12170.23,10801.16,10056.59,500.87,474.94,373.15,357.07,5998.19,5232.02,4723.49,4508.53,7390.34,6463.27,5704.52,5190.99,1435.33,1398.9,1228.05,1210.74,513.4,1.94,511.2, ,99.6,土壤重金属污染,硒/镉/铜,2015年,生活垃圾/粉尘污染,学术论文
西安,2.43,中,0.126,0.043,0.045,304.0,83.3,14.6,38.5,-8.2,62.0,1948.6,527.3,81503.0,15075.0,3027.0,63563.0,1299580.0,137873.0,816.0,88.0,17320.7,12330.0,11800.0,2413.0,35526.0,61211.0,346.0,12907.1,7469.85,6257.18,5801.2,5492.64,281.12,232.01,220.2,214.55,2596.08,2197.81,2126.29,2194.78,4592.65,3827.36,3454.71,3083.31,905.68,824.93,815.66,815.29,248.5,1.01,243.6,1790,98.1,土壤重金属污染,镉/铅/铜,2007年,工业废物/化肥农药/生活垃圾,学术论文
昆明,2.24,中,0.07200000000000001,0.04,0.046,365.0,100.0,16.7,30.4,0.3,66.0,2136.8,869.1,77461.0,7842.0,6103.0,567547.0,1801015.0,534556.0,1369.0,90.0,94332.9,3225.0,3225.0,165.0,3127.0,11683.0,517.0,21949.8,4857.64,4300.08,3968.01,3712.99,210.13,200.51,188.1,181.56,1865.97,1660.11,1586.38,1538.53,2781.54,2439.46,2193.52,1992.91,562.99,559.79,555.57,550.5,2284.0,1.3,944.0,94830,41.3,土壤重金属污染,砷/镉/铬/铜,2015年,工业废物/交通排放,学术论文
南宁,2.14,中,0.069,0.027999999999999997,0.03,349.0,95.6,21.8,38.2,1.6,77.0,1601.5,1376.9,65696.0,24506.0,6972.0,24157.0,475427.0,373381.0,815.0,188.0,12571.9,12426.0,11866.0,1184.0,66507.0,57928.0,351.0,18092.6,4118.83,3703.39,3410.09,3148.3,404.18,400.67,370.35,369.57,1599.5,1427.16,1345.66,1251.54,2115.15,1875.57,1694.08,1527.19,756.86,751.75,740.23,729.66,407.7,0.04,384.2,1100,94.0,土壤重金属污染,镉/砷/镍/铅,2011年,工业废物/化肥农药,学术论文
上海,1.59,轻,0.079,0.028999999999999998,0.05,336.0,92.1,17.2,39.4,-5.9,69.0,1662.0,1128.9,221476.0,41793.0,9705.0,349849.0,4723090.0,1381789.0,4319.0,620.0,288712.8,36696.0,35973.0,3192.0,21575.0,198225.0,1749.0,157318.3,30632.99,28178.65,25123.45,23567.7,110.78,109.47,109.82,124.26,9330.67,8406.28,7991.0,8167.71,21191.54,19662.9,17022.63,15275.72,1455.13,1450.0,1442.97,1438.69,2448.4,51.25,2366.9,2,96.2,土壤重金属污染,锌/铅/镉/铜,2012年,工业废物/交通排放,学术论文
广州,1.46,轻,0.069,0.033,0.053,357.0,97.8,22.5,37.1,1.8,73.0,1484.0,2353.6,85871.0,9371.0,1504.0,392842.0,5394260.0,196277.0,1508.0,253.0,425816.5,23586.0,22783.0,1006.0,21027.0,73964.0,1012.0,62139.3,21503.15,19547.44,18100.41,16706.87,233.49,239.28,226.84,218.7,6015.29,5751.59,5726.08,5590.97,15254.37,13556.57,12147.49,10897.2,897.87,870.49,854.19,842.42,692.1,24.54,622.2,45,89.8,土壤重金属污染,锌/铅/镉/铜,2001年,化肥农药/工业废物/交通排放,学术论文
武汉,1.4,轻,0.10800000000000001,0.040999999999999995,0.057,284.0,77.8,16.6,38.1,-4.0,77.0,1544.0,1337.9,87256.0,12631.0,8571.0,153925.0,2473257.0,274425.0,649.0,40.0,71994.5,22465.0,22286.0,1299.0,19645.0,125422.0,251.0,31663.6,13410.34,11912.61,10905.6,10069.48,408.2,390.62,359.81,350.06,5861.35,5227.05,4981.54,4785.66,7140.79,6294.94,5564.25,4933.76,853.65,833.85,829.27,827.31,1324.8,3.64,1337.3, ,98.6,土壤重金属污染,汞/铅/镉,2010年,工业废物/交通排放,学术论文
贵阳,1.36,轻,0.075,0.057,0.027000000000000003,343.0,94.0,14.6,32.6,-4.0,77.0,1021.5,1010.0,84508.0,12601.0,14931.0,361595.0,1042180.0,412766.0,694.0,131.0,42489.7,2380.0,2280.0,82.0,1707.0,47893.0,298.0,11220.1,3537.96,3157.7,2891.16,2497.27,147.33,137.14,129.89,108.02,1375.18,1218.79,1108.52,976.59,2015.45,1801.77,1652.75,1412.66,408.31,401.35,391.79,382.91,1167.7,0.91,658.5,508,56.2,土壤重金属污染,铅/镉/铜,2007年,工业废物/交通排放,学术论文
郑州,1.32,轻,0.111,0.053,0.046,318.0,87.1,15.6,39.9,-8.1,56.0,1727.1,600.3,116857.0,45011.0,31418.0,51684.0,3555305.0,679244.0,1320.0,90.0,56865.8,13484.0,13234.0,432.0,13252.0,36174.0,368.0,16147.2,9130.2,8025.31,7311.52,6776.99,158.6,156.35,150.92,147.15,4247.5,3728.66,3604.15,3487.14,4724.1,4140.29,3556.45,3142.7,842.25,827.06,810.49,937.8,958.9,0.25,796.2,350,83.0,土壤重金属污染,铅/镉/铜/铬,2007年,工业废物/化肥农药,学术论文
天津,0.9,警戒,0.096,0.054000000000000006,0.045,308.0,84.4,12.2,38.9,-18.1,59.0,2089.2,355.4,217620.0,53831.0,7970.0,374014.0,4844544.0,548424.0,3126.0,1651.0,185777.4,19680.0,19671.0,3197.0,22218.0,109751.0,912.0,69321.1,18549.19,17885.39,16538.19,15726.93,168.96,220.22,208.82,199.9,7593.59,7571.35,7704.22,7731.85,10786.64,10093.82,8625.15,7795.18,1049.99,1044.4,1026.9,1016.66,1862.4,10.21,1845.1, ,98.6,土壤重金属污染,镉/铅/锌/铜,2010年,粉尘污染,学术论文
